name,category,sub-category,about
Asus Indonesia,Sponsor,Technology Hardware,"ASUS is passionate about technology and driven by innovation. We dream, we dare and we strive to create an effortless and joyful digital life for everyone. We're always in search of incredible ideas and experiences, and we aspire to deliver the incredible in everything we do. We discover the ideas, products and awards that make up our rich history as a global technology leader."
Hydro Coco,Sponsor,Food & Beverage,"Tentang Hydro Coco
Hydro Coco terbuat dari air kelapa asli dalam kemasan yang praktis dan higienis.

Nutrisi Air Kelapa Asli
Hydro Coco dengan nutrisi air kelapa asli adalah pilihan yang tepat untuk jaga kesehatan karena mempunyai banyak manfaat kesehatan, salah satunya menjaga daya tahan dan rehidrasi tubuh."
Nutrijell,Sponsor,Food & Beverage,"Nutrijell is a leading agar-agar brand in Indonesia, known for its high quality and versatility. The company has established itself as a pioneer in the agar-agar industry, introducing innovative products that cater to the diverse culinary needs of Indonesian consumers. Nutrijell's commitment to excellence has been recognized through numerous awards and recognitions, including the Indonesian Business Award for the Best Food Ingredient Company and the Top Brand Award for Agar-Agar.

Beyond its product offerings, Nutrijell is also committed to sustainability and community engagement. The company implements eco-friendly practices, sources agar-agar from responsibly cultivated seaweed farms, and actively supports education and healthcare programs in local communities. Nutrijell's achievements and contributions have solidified its position as a leading brand in the Indonesian agar-agar industry, while also demonstrating its dedication to social responsibility and cultural preservation."
Zalora Indonesia,Sponsor,E-Commerce,"Zalora Indonesia, the largest online fashion retailer in Indonesia, offers a wide selection of products from local and international brands. With its innovative technology, customer-centric approach, and strong mobile presence, Zalora Indonesia has consistently ranked among the top e-commerce companies in the country.

Zalora Indonesia's commitment to excellence has been recognized through numerous awards and recognitions, including the Indonesia E-commerce Award for the Best Fashion E-commerce and the Top Brand Award for Online Fashion Retail. The company has also made a positive impact on the Indonesian economy, creating jobs and promoting the growth of e-commerce in the country."
Marina,Sponsor,Personal & Beauty,"Marina Natural is a leading Indonesian cosmetic company known for its commitment to using natural ingredients and promoting sustainable practices. With a wide range of products catering to diverse skin and hair care needs, Marina Natural has established itself as a trusted brand among Indonesian consumers.

Marina Natural's dedication to quality and sustainability has been recognized through numerous awards and certifications, including the Halal Award from the Indonesian Ulema Council and the Eco-Label Indonesia certification. The company actively engages in environmental initiatives, such as using eco-friendly packaging and supporting local farmers who cultivate natural ingredients.

Beyond its product offerings, Marina Natural is also committed to empowering women and promoting social responsibility. The company collaborates with various organizations to provide vocational training and employment opportunities for women, contributing to their economic independence and well-being. Marina Natural's achievements and contributions have solidified its position as a leading brand in the Indonesian cosmetic industry, while also demonstrating its dedication to environmental sustainability and social impact."
Tango,Sponsor,Food & Beverage,"Tango Wafer is a leading Indonesian wafer brand, renowned for its crispy texture, rich flavors, and iconic packaging. Introduced in 1981, Tango Wafer has become a staple in Indonesian households, capturing the hearts of generations with its irresistible combination of taste and nostalgia.

Tango Wafer's success lies in its unwavering commitment to quality and innovation. The brand has consistently introduced new flavors and variants, catering to the evolving preferences of Indonesian consumers. From classic flavors like chocolate and vanilla to more adventurous creations like strawberry cheesecake and tiramisu, Tango Wafer has something to satisfy every taste bud.

Tango Wafer's popularity extends beyond its delectable wafers. The brand has become a cultural icon, associated with moments of joy, sharing, and togetherness. Its iconic red packaging and catchy jingle have become synonymous with the brand, evoking fond memories for generations of Indonesians.

With its rich history, unwavering commitment to quality, and strong cultural connection, Tango Wafer remains a beloved Indonesian brand, continuing to delight consumers with its crispy wafers and enduring flavors."
HiLo,Sponsor,Food & Beverage,"HiLo is a leading high-calcium milk brand in Indonesia, recognized for its nutritional value and commitment to supporting healthy lifestyles. Introduced in 1995, HiLo has become a household name, trusted by families across the country to provide essential nutrients for growth and development.

HiLo's popularity stems from its unique formulation, enriched with high calcium content and essential vitamins, including vitamin D and vitamin A. The brand's commitment to quality and innovation has been recognized through numerous awards and certifications, including the Indonesian Top Brand Award for High-Calcium Milk for over 20 consecutive years."
Garuda Indonesia,Sponsor,Airline,"Garuda Indonesia, the national airline of Indonesia, is a leading airline group with a rich heritage spanning over 70 years. Renowned for its 5-star service and ""Garuda Indonesia Experience,"" the airline offers scheduled domestic and international flights to over 140 destinations across Asia, Australia, Europe, and the Middle East. Garuda Indonesia's fleet consists of over 140 modern aircraft, including the Boeing 737, Airbus A330, and Boeing 787 Dreamliner. The airline has consistently received numerous accolades, including the Skytrax 5-Star Airline Award for 10 consecutive years and the World's Best Cabin Crew for 7 consecutive years. Garuda Indonesia is committed to providing a seamless and enjoyable travel experience for its passengers, upholding its reputation as Indonesia's window to the world."
Nutrifood,Sponsor,Food & Beverage,"Nutrifood is a leading Indonesian food and beverage company with a diverse portfolio of products ranging from biscuits and candies to coffee and nutritional supplements. Established in 1995, the company has grown to become a household name, recognized for its commitment to quality, innovation, and social responsibility. Nutrifood's products are enjoyed by consumers across Indonesia and are exported to over 80 countries worldwide.

Nutrifood's success lies in its focus on understanding consumer needs and delivering products that meet their evolving preferences. The company continuously invests in research and development, introducing new flavors, formulations, and packaging options to cater to diverse tastes and lifestyles. Nutrifood is also committed to sustainability, implementing eco-friendly practices and supporting local communities through various social responsibility initiatives."
Pocari Sweat,Sponsor,Food & Beverage,"Pocari Sweat is a leading isotonic drink brand in Indonesia, renowned for its refreshing taste and ability to replenish electrolytes and fluids lost through sweating. Introduced in 1989, Pocari Sweat has become a household name, trusted by athletes, active individuals, and anyone seeking rehydration and refreshment.

Pocari Sweat's success lies in its unique formulation, designed to optimally replenish fluids and electrolytes, particularly sodium and potassium, which are essential for maintaining hydration and muscle function. The brand's commitment to quality and scientific research has been recognized through numerous awards and certifications, including the Indonesian Top Brand Award for Isotonic Drinks for over 20 consecutive years."
